CarPlate,Price,Company,Number,Number of digits,Front Characters,Suffix characters,Total number of characters,Same digit througout,Sub repeated digits
SKU9595A,SOLD,SGCarMart,9595,4,SKU,A,8,0,0
SGJ999H,SOLD,SGCarMart,999,3,SGJ,H,7,1,1
SLJ6666U,SOLD,SGCarMart,6666,4,SLJ,U,8,1,1
SFE4994H,SOLD,SGCarMart,4994,4,SFE,H,8,0,1
SJB2626C,SOLD,SGCarMart,2626,4,SJB,C,8,0,0
SLW1818M,SOLD,SGCarMart,1818,4,SLW,M,8,0,0
SFH5Z,SOLD,SGCarMart,5,1,SFH,Z,5,0,0
SLG998S,SOLD,SGCarMart,998,3,SLG,S,7,0,1
SLG59C,SOLD,SGCarMart,59,2,SLG,C,6,0,0
SJW870R,SOLD,SGCarMart,870,3,SJW,R,7,0,0
SKE609M,SOLD,SGCarMart,609,3,SKE,M,7,0,0
GY369Y,SOLD,SGCarMart,369,3,GY,Y,6,0,0
ET8866B,SOLD,SGCarMart,8866,4,ET,B,7,0,1
SDL883H,SOLD,SGCarMart,883,3,SDL,H,7,0,1
SFV28J,SOLD,SGCarMart,28,2,SFV,J,6,0,0
SGQ3535G,SOLD,SGCarMart,3535,4,SGQ,G,8,0,0
SNE18H,SOLD,SGCarMart,18,2,SNE,H,6,0,0
SND43P,SOLD,SGCarMart,43,2,SND,P,6,0,0
SND3699C,SOLD,SGCarMart,3699,4,SND,C,8,0,1
SMF9977L,SOLD,SGCarMart,9977,4,SMF,L,8,0,1
EN10M,POA,SGCarMart,10,2,EN,M,5,0,0
SK20J,POA,SGCarMart,20,2,SK,J,5,0,0
EH3333T,POA,SGCarMart,3333,4,EH,T,7,1,1
SMC1111L,POA,SGCarMart,1111,4,SMC,L,8,1,1
SBV67T,POA,SGCarMart,67,2,SBV,T,6,0,0
E91K,POA,SGCarMart,91,2,E,K,4,0,0
EJ31Z,POA,SGCarMart,31,2,EJ,Z,5,0,0
SP99G,POA,SGCarMart,99,2,SP,G,5,1,1
SBR6000S,POA,SGCarMart,6000,4,SBR,S,8,0,1
EM9000M,POA,SGCarMart,9000,4,EM,M,7,0,1
SBQ8R,POA,SGCarMart,8,1,SBQ,R,5,0,0
ST89P,POA,SGCarMart,89,2,ST,P,5,0,0
E29S,POA,SGCarMart,29,2,E,S,4,0,0
SV50P,POA,SGCarMart,50,2,SV,P,5,0,0
GBB8080G,POA,SGCarMart,8080,4,GBB,G,8,0,0
EU7722J,POA,SGCarMart,7722,4,EU,J,7,0,1
ED6666J,POA,SGCarMart,6666,4,ED,J,7,1,1
EW80M,POA,SGCarMart,80,2,EW,M,5,0,0
SGE4545J,POA,SGCarMart,4545,4,SGE,J,8,0,0
SMD22L,POA,SGCarMart,22,2,SMD,L,6,1,1
EG68J,POA,SGCarMart,68,2,EG,J,5,0,0
SGF8888M,POA,SGCarMart,8888,4,SGF,M,8,1,1
SR22S,POA,SGCarMart,22,2,SR,S,5,1,1
SDZ8U,POA,SGCarMart,8,1,SDZ,U,5,0,0
EF8080A,POA,SGCarMart,8080,4,EF,A,7,0,0
SR82T,POA,SGCarMart,82,2,SR,T,5,0,0
SNF6666S,POA,SGCarMart,6666,4,SNF,S,8,1,1
SNF8888E,POA,SGCarMart,8888,4,SNF,E,8,1,1
SNF88A,POA,SGCarMart,88,2,SNF,A,6,1,1
S369L,POA,SGCarMart,369,3,S,L,5,0,0
SNF66M,POA,SGCarMart,66,2,SNF,M,6,1,1
SNE6666Y,POA,SGCarMart,6666,4,SNE,Y,8,1,1
EG4444R,POA,SGCarMart,4444,4,EG,R,7,1,1
SN41H,POA,SGCarMart,41,2,SN,H,5,0,0
SGJ91B,POA,SGCarMart,91,2,SGJ,B,6,0,0
SNE666L,POA,SGCarMart,666,3,SNE,L,7,1,1
SNE8888K,POA,SGCarMart,8888,4,SNE,K,8,1,1
SGX6611M,POA,SGCarMart,6611,4,SGX,M,8,0,1
EV13M,POA,SGCarMart,13,2,EV,M,5,0,0
SND9999Y,POA,SGCarMart,9999,4,SND,Y,8,1,1
SCJ8999C,POA,SGCarMart,8999,4,SCJ,C,8,0,1
ST96T,POA,SGCarMart,96,2,ST,T,5,0,0
EL70A,"	99,000",CarPlateMart,70,2,EL,A,5,0,0
SE61Y,"	98,000",CarPlateMart,61,2,SE,Y,5,0,0
SW85J,"	90,000",CarPlateMart,85,2,SW,J,5,0,0
SNE80B,"	9,300",CarPlateMart,80,2,SNE,B,6,0,0
ET6265Z,"	8,300",CarPlateMart,6265,4,ET,Z,7,0,0
SF5555B,"	75,000",CarPlateMart,5555,4,SF,B,7,1,1
SDL444S,"	7,800",CarPlateMart,444,3,SDL,S,7,1,1
SGF2E,"	64,800",CarPlateMart,2,1,SGF,E,5,0,0
SGL67L,"	6,800",CarPlateMart,67,2,SGL,L,6,0,0
SDA6500G,"	6,500",CarPlateMart,6500,4,SDA,G,8,0,1
SMA7Y,"	55,800",CarPlateMart,7,1,SMA,Y,5,0,0
SNB525B,"	5,900",CarPlateMart,525,3,SNB,B,7,0,0
SCQ88Y,"	48,800",CarPlateMart,88,2,SCQ,Y,6,1,1
SBK7007D,"	4,888",CarPlateMart,7007,4,SBK,D,8,0,1
SMR363D,"	4,800",CarPlateMart,363,3,SMR,D,7,0,0
SMY130Y,"	4,500",CarPlateMart,130,3,SMY,Y,7,0,0
SDP7770H,"	4,300",CarPlateMart,7770,4,SDP,H,8,0,1
SKU960M,"	3,800",CarPlateMart,960,3,SKU,M,7,0,0
SGY1133D,"	3,800",CarPlateMart,1133,4,SGY,D,8,0,1
SNE151E,"	3,500",CarPlateMart,151,3,SNE,E,7,0,0
SFX5559A,"	3,500",CarPlateMart,5559,4,SFX,A,8,0,1
SNE1221E,"	3,300",CarPlateMart,1221,4,SNE,E,8,0,1
SJY4448R,"	3,000",CarPlateMart,4448,4,SJY,R,8,0,1
SBJ8888B,"	28,800",CarPlateMart,8888,4,SBJ,B,8,1,1
SMJ8888X,"	26,800",CarPlateMart,8888,4,SMJ,X,8,1,1
SJZ18U,"	24,800",CarPlateMart,18,2,SJZ,U,6,0,0
ET6888B,"	23,888",CarPlateMart,6888,4,ET,B,7,0,1
SE7133C,"	21,888",CarPlateMart,7133,4,SE,C,7,0,1
SGW9977T,"	2,900",CarPlateMart,9977,4,SGW,T,8,0,1
SJW1116D,"	2,800",CarPlateMart,1116,4,SJW,D,8,0,1
SGQ121L,"	2,488",CarPlateMart,121,3,SGQ,L,7,0,0
SLS6662H,"	2,300",CarPlateMart,6662,4,SLS,H,8,0,1
SGS705S,"	2,280",CarPlateMart,705,3,SGS,S,7,0,0
SMY51S,"	18,800",CarPlateMart,51,2,SMY,S,6,0,0
SFG44R,"	18,000",CarPlateMart,44,2,SFG,R,6,1,1
SND19K,"	17,800",CarPlateMart,19,2,SND,K,6,0,0
EP8833S,"	17,800",CarPlateMart,8833,4,EP,S,7,0,1
EH9111C,"	16,888",CarPlateMart,9111,4,EH,C,7,0,1
SKZ10D,"	16,800",CarPlateMart,10,2,SKZ,D,6,0,0
EF1281H,"	16,000",CarPlateMart,1281,4,EF,H,7,0,0
SX1091D,"	15,800",CarPlateMart,1091,4,SX,D,7,0,0
SY6716Y,"	14,800",CarPlateMart,6716,4,SY,Y,7,0,0
SV54D,"	138,000",CarPlateMart,54,2,SV,D,5,0,0
SY333H,"	138,000",CarPlateMart,333,3,SY,H,6,1,1
E181J,"	131,800",CarPlateMart,181,3,E,J,5,0,0
EY7733G,"	12,888",CarPlateMart,7733,4,EY,G,7,0,1
SFG15A,"	11,800",CarPlateMart,15,2,SFG,A,6,0,0
SC39Z,"	108,000",CarPlateMart,39,2,SC,Z,5,0,0
SNB3113L,"	1,680",CarPlateMart,3113,4,SNB,L,8,0,1
EC92J,800000,Carplate,92,2,EC,J,5,0,0
EC2U,800000,Carplate,2,1,EC,U,4,0,0
SB81E,777777,SGCarMart,81,2,SB,E,5,0,0
EW3L,588000,Carplate,3,1,EW,L,4,0,0
E60A,400000,Carplate,60,2,E,A,4,0,0
EK3188E,388888,Carplate,3188,4,EK,E,7,0,1
SK77X,388000,Carplate,77,2,SK,X,5,1,1
EN111E,380000,Carplate,111,3,EN,E,6,1,1
S7788P,380000,Carplate,7788,4,S,P,6,0,1
EG88B,368000,Carplate,88,2,EG,B,5,1,1
SL22Z,350000,Carplate,22,2,SL,Z,5,1,1
E58H,350000,Carplate,58,2,E,H,4,0,0
SP95S,350000,Carplate,95,2,SP,S,5,0,0
EG88B,330000,CarPlateMart,88,2,EG,B,5,1,1
SF71M,300000,Carplate,71,2,SF,M,5,0,0
SS222B,300000,Carplate,222,3,SS,B,6,1,1
EV300J,300000,Carplate,300,3,EV,J,6,0,1
ES11J,288000,Carplate,11,2,ES,J,5,1,1
SE98S,288000,Carplate,98,2,SE,S,5,0,0
SF35T,288000,Carplate,35,2,SF,T,5,0,0
SR28B,288000,SGCarMart,28,2,SR,B,5,0,0
SR98Z,280000,Carplate,98,2,SR,Z,5,0,0
SF111G,280000,Carplate,111,3,SF,G,6,1,1
ST828Z,280000,Carplate,828,3,ST,Z,6,0,0
SL22Z,268800,SGCarMart,22,2,SL,Z,5,1,1
SDH1H,268000,Carplate,1,1,SDH,H,5,0,0
SNF1A,258000,SGCarMart,1,1,SNF,A,5,0,0
SL8888P,250000,Carplate,8888,4,SL,P,7,1,1
SL52L,250000,Carplate,52,2,SL,L,5,0,0
S9392J,250000,Carplate,9392,4,S,J,6,0,0
QC888M,249888,SGCarMart,888,3,QC,M,6,1,1
SC7777E,245000,CarPlateMart,7777,4,SC,E,7,1,1
ES11J,238888,SGCarMart,11,2,ES,J,5,1,1
SV22X,238000,SGCarMart,22,2,SV,X,5,1,1
SY13G,220000,CarPlateMart,13,2,SY,G,5,0,0
EX1111X,211111,CarPlateMart,1111,4,EX,X,7,1,1
SK51U,210000,Carplate,51,2,SK,U,5,0,0
SW1000Y,208000,Carplate,1000,4,SW,Y,7,0,1
SM1111M,200000,SGCarMart,1111,4,SM,M,7,1,1
SF71M,200000,CarPlateMart,71,2,SF,M,5,0,0
SM1111M,199000,Carplate,1111,4,SM,M,7,1,1
SLZ1T,188888,Carplate,1,1,SLZ,T,5,0,0
SDW1D,188888,Carplate,1,1,SDW,D,5,0,0
SDW1D,188888,SGCarMart,1,1,SDW,D,5,0,0
SJF1Y,188000,Carplate,1,1,SJF,Y,5,0,0
SJF1Y,188000,SGCarMart,1,1,SJF,Y,5,0,0
SDP1R,188000,SGCarMart,1,1,SDP,R,5,0,0
SS345E,188000,SGCarMart,345,3,SS,E,6,0,0
SY25Y,188000,SGCarMart,25,2,SY,Y,5,0,0
GG222G,180000,Carplate,222,3,GG,G,6,1,1
SY79S,180000,SGCarMart,79,2,SY,S,5,0,0
E9900S,170000,CarPlateMart,9900,4,E,S,6,0,1
SV71D,168888,Carplate,71,2,SV,D,5,0,0
SE35Z,168000,Carplate,35,2,SE,Z,5,0,0
SP34T,168000,Carplate,34,2,SP,T,5,0,0
EC48M,168000,Carplate,48,2,EC,M,5,0,0
SE728H,168000,Carplate,728,3,SE,H,6,0,0
SP34T,168000,CarPlateMart,34,2,SP,T,5,0,0
SJF1Y,168000,CarPlateMart,1,1,SJF,Y,5,0,0
EY10E,158888,CarPlateMart,10,2,EY,E,5,0,0
EU28B,158000,Carplate,28,2,EU,B,5,0,0
SKG1E,150000,SGCarMart,1,1,SKG,E,5,0,0
SY333H,150000,SGCarMart,333,3,SY,H,6,1,1
E74K,150000,CarPlateMart,74,2,E,K,4,0,0
SQ91Y,149999,Carplate,91,2,SQ,Y,5,0,0
SN44A,144000,Carplate,44,2,SN,A,5,1,1
SQ72C,138888,SGCarMart,72,2,SQ,C,5,0,0
SV54D,138800,SGCarMart,54,2,SV,D,5,0,0
ES28L,138000,Carplate,28,2,ES,L,5,0,0
SBM888M,138000,Carplate,888,3,SBM,M,7,1,1
SFD1E,138000,Carplate,1,1,SFD,E,5,0,0
EW911R,138000,Carplate,911,3,EW,R,6,0,1
ET899J,138000,Carplate,899,3,ET,J,6,0,1
ET899J,138000,Carplate,899,3,ET,J,6,0,1
ES28L,138000,SGCarMart,28,2,ES,L,5,0,0
EH38R,138000,SGCarMart,38,2,EH,R,5,0,0
SY70R,138000,SGCarMart,70,2,SY,R,5,0,0
SP8888T,138000,SGCarMart,8888,4,SP,T,7,1,1
EH38R,138000,CarPlateMart,38,2,EH,R,5,0,0
EU28B,138000,CarPlateMart,28,2,EU,B,5,0,0
SN46U,130000,Carplate,46,2,SN,U,5,0,0
SKC1B,128888,Carplate,1,1,SKC,B,5,0,0
SE9000P,128888,CarPlateMart,9000,4,SE,P,7,0,1
GU5T,128000,Carplate,5,1,GU,T,4,0,0
EY19G,128000,Carplate,19,2,EY,G,5,0,0
EY82Y,128000,Carplate,82,2,EY,Y,5,0,0
SS444C,128000,CarPlateMart,444,3,SS,C,6,1,1
EY82Y,128000,CarPlateMart,82,2,EY,Y,5,0,0
SY5555B,125000,Carplate,5555,4,SY,B,7,1,1
SW85J,125000,SGCarMart,85,2,SW,J,5,0,0
EG400H,120000,Carplate,400,3,EG,H,6,0,1
SKW1X,118000,SGCarMart,1,1,SKW,X,5,0,0
SKD1X,113999,SGCarMart,1,1,SKD,X,5,0,0
SP1800S,111888,Carplate,1800,4,SP,S,7,0,1
EL90S,110000,Carplate,90,2,EL,S,5,0,0
EE1001E,108888,Carplate,1001,4,EE,E,7,0,1
SDW5T,108888,Carplate,5,1,SDW,T,5,0,0
SN53Z,108888,SGCarMart,53,2,SN,Z,5,0,0
SBM5U,108888,CarPlateMart,5,1,SBM,U,5,0,0
EV8888C,108888,CarPlateMart,8888,4,EV,C,7,1,1
EC66K,108000,Carplate,66,2,EC,K,5,1,1
SBW7L,108000,Carplate,7,1,SBW,L,5,0,0
SV45E,108000,CarPlateMart,45,2,SV,E,5,0,0
EM6666L,106666,Carplate,6666,4,EM,L,7,1,1
EK300S,103888,Carplate,300,3,EK,S,6,0,1
SNF60D,100666,SGCarMart,60,2,SNF,D,6,0,0
SDB5D,100000,Carplate,5,1,SDB,D,5,0,0
SCK5T,100000,Carplate,5,1,SCK,T,5,0,0
EZ62A,100000,Carplate,62,2,EZ,A,5,0,0
EY20B,100000,Carplate,20,2,EY,B,5,0,0
ST2616E,100000,Carplate,2616,4,ST,E,7,0,0
SFA3R,100000,Carplate,3,1,SFA,R,5,0,0
EG6699Z,100000,Carplate,6699,4,EG,Z,7,0,1
SKK9M,99999,SGCarMart,9,1,SKK,M,5,0,0
EL70A,99000,SGCarMart,70,2,EL,A,5,0,0
SS9090E,99000,SGCarMart,9090,4,SS,E,7,0,0
EX16U,98000,Carplate,16,2,EX,U,5,0,0
SW29Y,98000,CarPlateMart,29,2,SW,Y,5,0,0
ES60S,96000,Carplate,60,2,ES,S,5,0,0
EK91U,91000,Carplate,91,2,EK,U,5,0,0
GK9K,90000,Carplate,9,1,GK,K,4,0,0
SY9999C,90000,Carplate,9999,4,SY,C,7,1,1
SP5555Z,89000,Carplate,5555,4,SP,Z,7,1,1
SAK18E,89000,Carplate,18,2,SAK,E,5,0,0
SFW5U,88888,Carplate,5,1,SFW,U,5,0,0
EE65C,88888,Carplate,65,2,EE,C,5,0,0
SY444X,88888,Carplate,444,3,SY,X,6,1,1
SMZ9K,88888,Carplate,9,1,SMZ,K,5,0,0
EC60B,88888,Carplate,60,2,EC,B,5,0,0
EQ60C,88888,Carplate,60,2,EQ,C,5,0,0
ET85R,88888,Carplate,85,2,ET,R,5,0,0
EG39T,88888,Carplate,39,2,EG,T,5,0,0
SJD999D,88888,Carplate,999,3,SJD,D,7,1,1
EL40L,88888,Carplate,40,2,EL,L,5,0,0
EH56M,88888,SGCarMart,56,2,EH,M,5,0,0
EG39T,88888,CarPlateMart,39,2,EG,T,5,0,0
SV8838G,88838,SGCarMart,8838,4,SV,G,7,0,1
EJ75Y,88000,Carplate,75,2,EJ,Y,5,0,0
SK64H,88000,Carplate,64,2,SK,H,5,0,0
SDT8B,88000,Carplate,8,1,SDT,B,5,0,0
SDQ9P,88000,Carplate,9,1,SDQ,P,5,0,0
SQ905A,88000,Carplate,905,3,SQ,A,6,0,0
E210J,88000,Carplate,210,3,E,J,5,0,0
E510T,88000,Carplate,510,3,E,T,5,0,0
EJ75Y,88000,SGCarMart,75,2,EJ,Y,5,0,0
EE35P,88000,SGCarMart,35,2,EE,P,5,0,0
SQ905A,88000,CarPlateMart,905,3,SQ,A,6,0,0
SGH6J,86000,SGCarMart,6,1,SGH,J,5,0,0
SMM83M,83838,Carplate,83,2,SMM,M,6,0,0
SME33A,83333,Carplate,33,2,SME,A,6,1,1
EJ81D,80888,SGCarMart,81,2,EJ,D,5,0,0
SX150Z,80000,Carplate,150,3,SX,Z,6,0,0
SLM8T,80000,Carplate,8,1,SLM,T,5,0,0
SKN8A,80000,Carplate,8,1,SKN,A,5,0,0
ES3818D,80000,Carplate,3818,4,ES,D,7,0,0
SJJ10A,80000,Carplate,10,2,SJJ,A,6,0,0
GG3Y,80000,Carplate,3,1,GG,Y,4,0,0
SN74M,80000,Carplate,74,2,SN,M,5,0,0
EA60L,80000,SGCarMart,60,2,EA,L,5,0,0
EK90Y,80000,CarPlateMart,90,2,EK,Y,5,0,0
ST57G,80000,CarPlateMart,57,2,ST,G,5,0,0
SGC5M,78888,Carplate,5,1,SGC,M,5,0,0
SKN8A,78800,SGCarMart,8,1,SKN,A,5,0,0
EG93K,78000,Carplate,93,2,EG,K,5,0,0
SGQ3U,78000,Carplate,3,1,SGQ,U,5,0,0
SFE3U,78000,Carplate,3,1,SFE,U,5,0,0
EJ81D,78000,Carplate,81,2,EJ,D,5,0,0
SLA7J,77000,Carplate,7,1,SLA,J,5,0,0
SCL7H,77000,Carplate,7,1,SCL,H,5,0,0
SKK77R,77000,SGCarMart,77,2,SKK,R,6,1,1
SNC6C,73888,Carplate,6,1,SNC,C,5,0,0
EG71Z,71000,Carplate,71,2,EG,Z,5,0,0
SLS7P,70000,SGCarMart,7,1,SLS,P,5,0,0
ER707R,70000,CarPlateMart,707,3,ER,R,6,0,0
SNC6C,69888,SGCarMart,6,1,SNC,C,5,0,0
SNC6C,69888,CarPlateMart,6,1,SNC,C,5,0,0
SJR3D,69444,SGCarMart,3,1,SJR,D,5,0,0
EQ57M,68888,SGCarMart,57,2,EQ,M,5,0,0
SKU3B,68888,SGCarMart,3,1,SKU,B,5,0,0
SK1231K,68888,CarPlateMart,1231,4,SK,K,7,0,0
E115B,68800,SGCarMart,115,3,E,B,5,0,1
SLN7R,68000,Carplate,7,1,SLN,R,5,0,0
EN92B,68000,Carplate,92,2,EN,B,5,0,0
S4121H,68000,Carplate,4121,4,S,H,6,0,0
EE43R,68000,Carplate,43,2,EE,R,5,0,0
SNC8Y,68000,SGCarMart,8,1,SNC,Y,5,0,0
E3008H,68000,SGCarMart,3008,4,E,H,6,0,1
SBG6Z,68000,SGCarMart,6,1,SBG,Z,5,0,0
SBG67Y,67000,Carplate,67,2,SBG,Y,6,0,0
SBG6Z,66888,CarPlateMart,6,1,SBG,Z,5,0,0
EK60J,66666,SGCarMart,60,2,EK,J,5,0,0
EM53U,65000,Carplate,53,2,EM,U,5,0,0
EN53P,65000,Carplate,53,2,EN,P,5,0,0
SGD65J,65000,Carplate,65,2,SGD,J,6,0,0
SDU8X,65000,SGCarMart,8,1,SDU,X,5,0,0
EE130Y,65000,CarPlateMart,130,3,EE,Y,6,0,0
SGF2E,64800,SGCarMart,2,1,SGF,E,5,0,0
EJ93U,63888,Carplate,93,2,EJ,U,5,0,0
SMN3P,63000,SGCarMart,3,1,SMN,P,5,0,0
EF50P,63000,CarPlateMart,50,2,EF,P,5,0,0
EB61D,61000,Carplate,61,2,EB,D,5,0,0
SJQ2L,60800,SGCarMart,2,1,SJQ,L,5,0,0
SLN2D,60000,Carplate,2,1,SLN,D,5,0,0
SLM2J,60000,Carplate,2,1,SLM,J,5,0,0
SLJ7L,60000,Carplate,7,1,SLJ,L,5,0,0
SLN5555S,60000,Carplate,5555,4,SLN,S,8,1,1
EQ57M,60000,Carplate,57,2,EQ,M,5,0,0
ES92A,60000,SGCarMart,92,2,ES,A,5,0,0
SLM2J,60000,CarPlateMart,2,1,SLM,J,5,0,0
SLN2D,60000,CarPlateMart,2,1,SLN,D,5,0,0
EQ2222P,60000,CarPlateMart,2222,4,EQ,P,7,1,1
SP1800S,60000,CarPlateMart,1800,4,SP,S,7,0,1
SBK2M,59800,SGCarMart,2,1,SBK,M,5,0,0
SBY90J,58999,Carplate,90,2,SBY,J,6,0,0
EG14P,58888,Carplate,14,2,EG,P,5,0,0
SGF2E,58888,Carplate,2,1,SGF,E,5,0,0
EB899M,58888,Carplate,899,3,EB,M,6,0,1
EJ58Y,58888,SGCarMart,58,2,EJ,Y,5,0,0
SMD2U,58888,SGCarMart,2,1,SMD,U,5,0,0
SBM88E,58800,Carplate,88,2,SBM,E,6,1,1
SBB6688S,58444,SGCarMart,6688,4,SBB,S,8,0,1
EQ288M,58288,Carplate,288,3,EQ,M,6,0,1
EP37B,58000,Carplate,37,2,EP,B,5,0,0
SBT6E,58000,Carplate,6,1,SBT,E,5,0,0
EL40L,58000,SGCarMart,40,2,EL,L,5,0,0
SNA2Z,58000,SGCarMart,2,1,SNA,Z,5,0,0
SBK88R,58000,CarPlateMart,88,2,SBK,R,6,1,1
SGW2R,58000,CarPlateMart,2,1,SGW,R,5,0,0
ST2616T,57000,CarPlateMart,2616,4,ST,T,7,0,0
SCG6L,56800,SGCarMart,6,1,SCG,L,5,0,0
SFP3L,56800,SGCarMart,3,1,SFP,L,5,0,0
SBM5U,55888,Carplate,5,1,SBM,U,5,0,0
SMA7Y,55800,SGCarMart,7,1,SMA,Y,5,0,0
EU5555M,55555,Carplate,5555,4,EU,M,7,1,1
EQ5555J,55555,Carplate,5555,4,EQ,J,7,1,1
EW87U,55555,CarPlateMart,87,2,EW,U,5,0,0
SMX7B,55000,Carplate,7,1,SMX,B,5,0,0
SMU5Y,55000,Carplate,5,1,SMU,Y,5,0,0
SX100T,55000,Carplate,100,3,SX,T,6,0,1
SNF5P,55000,Carplate,5,1,SNF,P,5,0,0
SLD5Z,55000,Carplate,5,1,SLD,Z,5,0,0
EP1212E,55000,Carplate,1212,4,EP,E,7,0,0
EQ396J,55000,Carplate,396,3,EQ,J,6,0,0
SJB7C,55000,Carplate,7,1,SJB,C,5,0,0
SDG11J,55000,Carplate,11,2,SDG,J,6,1,1
SJQ7Z,55000,SGCarMart,7,1,SJQ,Z,5,0,0
SJB7C,55000,SGCarMart,7,1,SJB,C,5,0,0
SND3E,54800,SGCarMart,3,1,SND,E,5,0,0
EN92B,52922,CarPlateMart,92,2,EN,B,5,0,0
SM522S,52888,Carplate,522,3,SM,S,6,0,1
SJR2G,52800,SGCarMart,2,1,SJR,G,5,0,0
EG7788T,52000,Carplate,7788,4,EG,T,7,0,1
SM522S,52000,CarPlateMart,522,3,SM,S,6,0,1
SND2H,51000,SGCarMart,2,1,SND,H,5,0,0
EQ2888T,50888,Carplate,2888,4,EQ,T,7,0,1
SBA7777S,50777,Carplate,7777,4,SBA,S,8,1,1
EH19X,50000,Carplate,19,2,EH,X,5,0,0
EP43H,50000,Carplate,43,2,EP,H,5,0,0
SBK20K,50000,Carplate,20,2,SBK,K,6,0,0
SM875Z,50000,Carplate,875,3,SM,Z,6,0,0
EB282H,50000,Carplate,282,3,EB,H,6,0,0
SMW111M,50000,Carplate,111,3,SMW,M,7,1,1
SFT899Y,50000,Carplate,899,3,SFT,Y,7,0,1
EL988C,50000,Carplate,988,3,EL,C,6,0,1
SN5251K,50000,Carplate,5251,4,SN,K,7,0,0
SJM5555X,50000,Carplate,5555,4,SJM,X,8,1,1
EN3232U,50000,Carplate,3232,4,EN,U,7,0,0
SX2222L,50000,SGCarMart,2222,4,SX,L,7,1,1
SX999S,50000,CarPlateMart,999,3,SX,S,6,1,1
SBA88T,50000,CarPlateMart,88,2,SBA,T,6,1,1
ER78Y,50000,CarPlateMart,78,2,ER,Y,5,0,0
ED188L,50000,CarPlateMart,188,3,ED,L,6,0,1
SL1100A,50000,CarPlateMart,1100,4,SL,A,7,0,1
SNE7P,49800,SGCarMart,7,1,SNE,P,5,0,0
SNA88B,48888,Carplate,88,2,SNA,B,6,1,1
SNB88X,48888,Carplate,88,2,SNB,X,6,1,1
SFE888H,48800,SGCarMart,888,3,SFE,H,7,1,1
SCQ88Y,48800,SGCarMart,88,2,SCQ,Y,6,1,1
SLD5Z,48500,SGCarMart,5,1,SLD,Z,5,0,0
SFM8888M,48000,Carplate,8888,4,SFM,M,8,1,1
SE4848T,48000,Carplate,4848,4,SE,T,7,0,0
SKP5Y,48000,SGCarMart,5,1,SKP,Y,5,0,0
EW5555C,48000,SGCarMart,5555,4,EW,C,7,1,1
SGX5C,47500,SGCarMart,5,1,SGX,C,5,0,0
EQ47S,47000,Carplate,47,2,EQ,S,5,0,0
EQ47S,47000,CarPlateMart,47,2,EQ,S,5,0,0
SGB11A,46888,Carplate,11,2,SGB,A,6,1,1
SLX5T,45888,Carplate,5,1,SLX,T,5,0,0
SDK33A,45888,SGCarMart,33,2,SDK,A,6,1,1
EL84K,45800,SGCarMart,84,2,EL,K,5,0,0
EC56P,45000,Carplate,56,2,EC,P,5,0,0
SKM33G,45000,SGCarMart,33,2,SKM,G,6,1,1
SNF2Y,45000,SGCarMart,2,1,SNF,Y,5,0,0
SC9900C,43888,Carplate,9900,4,SC,C,7,0,1
SLX3Z,43888,Carplate,3,1,SLX,Z,5,0,0
SNC5E,43800,SGCarMart,5,1,SNC,E,5,0,0
SGX5C,42888,Carplate,5,1,SGX,C,5,0,0
SGG18E,41888,Carplate,18,2,SGG,E,6,0,0
SW7007P,41000,CarPlateMart,7007,4,SW,P,7,0,1
SGT55D,40000,Carplate,55,2,SGT,D,6,1,1
SBM222J,40000,Carplate,222,3,SBM,J,7,1,1
SMJ11L,40000,Carplate,11,2,SMJ,L,6,1,1
SFX4S,40000,Carplate,4,1,SFX,S,5,0,0
SBC4A,40000,Carplate,4,1,SBC,A,5,0,0
SBF18U,40000,CarPlateMart,18,2,SBF,U,6,0,0
SM875Z,40000,CarPlateMart,875,3,SM,Z,6,0,0
EX37J,39999,Carplate,37,2,EX,J,5,0,0
SKT7X,39999,SGCarMart,7,1,SKT,X,5,0,0
E1383L,39888,Carplate,1383,4,E,L,6,0,0
SBQ88J,39888,Carplate,88,2,SBQ,J,6,1,1
EY668H,39888,SGCarMart,668,3,EY,H,6,0,1
EX56D,39000,Carplate,56,2,EX,D,5,0,0
SMU555B,38888,Carplate,555,3,SMU,B,7,1,1
EL1717L,38888,Carplate,1717,4,EL,L,7,0,0
SMH3X,38888,Carplate,3,1,SMH,X,5,0,0
SJV10L,38888,Carplate,10,2,SJV,L,6,0,0
SS4433H,38888,Carplate,4433,4,SS,H,7,0,1
EW800C,38888,Carplate,800,3,EW,C,6,0,1
E2007S,38888,Carplate,2007,4,E,S,6,0,1
SDA88U,38888,Carplate,88,2,SDA,U,6,1,1
EZ2628E,38888,Carplate,2628,4,EZ,E,7,0,0
EE899M,38888,SGCarMart,899,3,EE,M,6,0,1
EQ668A,38888,SGCarMart,668,3,EQ,A,6,0,1
SY1188D,38888,SGCarMart,1188,4,SY,D,7,0,1
SBE99R,38888,SGCarMart,99,2,SBE,R,6,1,1
SBZ8888S,38888,SGCarMart,8888,4,SBZ,S,8,1,1
E3334R,38888,SGCarMart,3334,4,E,R,6,0,1
EU1818G,38888,CarPlateMart,1818,4,EU,G,7,0,0
E7385S,38888,CarPlateMart,7385,4,E,S,6,0,0
SKC33J,38800,SGCarMart,33,2,SKC,J,6,1,1
SFV27L,38800,SGCarMart,27,2,SFV,L,6,0,0
