,CarPlate,Price,Company,Number,Number of digits,Front Characters,Suffix characters,Total number of characters,Same digit througout,Sub repeated digits,Auspicious,First Letter,suffix_number,first_letter,Antique,Price Range,Natural_break,number_group
889,SMX333J,13888,Carplate,333,3,SMX,J,7,1,1,0,S,13,18,0,11,4,4
890,GX5C,13888,Carplate,5,1,GX,C,4,0,0,0,G,18,6,0,11,4,1
891,SLR34R,13888,Carplate,34,2,SLR,R,6,0,0,0,S,8,18,0,11,4,1
892,SMA86T,13888,Carplate,86,2,SMA,T,6,0,0,1,S,6,18,0,11,4,2
893,SBZ808B,13888,Carplate,808,3,SBZ,B,7,0,0,1,S,19,18,0,11,4,8
894,SY6716Y,13888,Carplate,6716,4,SY,Y,7,0,0,0,S,3,18,0,11,4,34
895,SKA8833A,13888,Carplate,8833,4,SKA,A,8,0,1,1,S,1,18,0,11,4,45
896,SLW41T,13888,Carplate,41,2,SLW,T,6,0,0,0,S,6,18,0,11,4,1
897,SGU31S,13888,Carplate,31,2,SGU,S,6,0,0,0,S,7,18,0,11,4,1
898,SLM51S,13888,Carplate,51,2,SLM,S,6,0,0,0,S,7,18,0,11,4,1
899,SCA688A,13888,Carplate,688,3,SCA,A,7,0,1,1,S,1,18,0,11,4,7
900,SGW89R,13888,SGCarMart,89,2,SGW,R,6,0,0,1,S,8,18,0,11,4,2
901,SJK87Z,13888,SGCarMart,87,2,SJK,Z,6,0,0,1,S,2,18,0,11,4,2
902,SKL3888S,13888,SGCarMart,3888,4,SKL,S,8,0,1,1,S,7,18,0,11,4,24
903,SND26P,13888,SGCarMart,26,2,SND,P,6,0,0,0,S,9,18,0,11,4,1
904,SJC29J,13888,CarPlateMart,29,2,SJC,J,6,0,0,0,S,13,18,0,11,4,1
905,SLP89T,13888,CarPlateMart,89,2,SLP,T,6,0,0,1,S,6,18,0,11,4,2
906,EF3880R,13880,CarPlateMart,3880,4,EF,R,7,0,1,1,E,8,4,1,11,4,24
907,SJG20L,13800,Carplate,20,2,SJG,L,6,0,0,0,S,11,18,0,11,4,1
908,SLX80A,13800,Carplate,80,2,SLX,A,6,0,0,1,S,1,18,0,11,4,2
909,SKH15K,13800,Carplate,15,2,SKH,K,6,0,0,0,S,12,18,0,11,4,1
910,SGU47Y,13800,SGCarMart,47,2,SGU,Y,6,0,0,0,S,3,18,0,11,4,1
911,SBR84P,13800,SGCarMart,84,2,SBR,P,6,0,0,1,S,9,18,0,11,4,2
912,SGM51B,13800,CarPlateMart,51,2,SGM,B,6,0,0,0,S,19,18,0,11,4,1
913,SNC333H,13800,CarPlateMart,333,3,SNC,H,7,1,1,0,S,14,18,0,11,4,4
914,EE1938C,13800,CarPlateMart,1938,4,EE,C,7,0,0,1,E,18,4,1,11,4,15
915,SBC8383C,13800,CarPlateMart,8383,4,SBC,C,8,0,0,1,S,18,18,0,11,4,43
916,ES3788G,13788,SGCarMart,3788,4,ES,G,7,0,1,1,E,15,4,1,11,4,24
917,SP8934T,13688,SGCarMart,8934,4,SP,T,7,0,0,1,S,6,18,0,11,4,46
918,SKS35U,13688,CarPlateMart,35,2,SKS,U,6,0,0,0,S,5,18,0,11,4,1
920,SFT3333T,13333,Carplate,3333,4,SFT,T,8,1,1,0,S,6,18,0,11,4,22
921,SDW3333B,13333,SGCarMart,3333,4,SDW,B,8,1,1,0,S,19,18,0,11,4,22
922,SFU3333M,13000,Carplate,3333,4,SFU,M,8,1,1,0,S,10,18,0,11,4,22
923,SGC7878P,13000,Carplate,7878,4,SGC,P,8,0,0,1,S,9,18,0,11,4,40
924,SFB71M,13000,SGCarMart,71,2,SFB,M,6,0,0,0,S,10,18,0,11,4,2
925,SGZ70C,13000,CarPlateMart,70,2,SGZ,C,6,0,0,0,S,18,18,0,11,4,2
926,EX2628R,13000,CarPlateMart,2628,4,EX,R,7,0,0,1,E,8,4,1,11,4,18
927,SJU3333R,13000,CarPlateMart,3333,4,SJU,R,8,1,1,0,S,8,18,0,11,4,22
928,SJU25A,13000,CarPlateMart,25,2,SJU,A,6,0,0,0,S,1,18,0,11,4,1
929,SKD91K,12999,Carplate,91,2,SKD,K,6,0,0,0,S,12,18,0,11,4,2
930,SFE59J,12999,CarPlateMart,59,2,SFE,J,6,0,0,0,S,13,18,0,11,4,2
931,EY2998S,12998,CarPlateMart,2998,4,EY,S,7,0,1,1,E,7,4,1,11,4,20
932,EF9799D,12888,Carplate,9799,4,EF,D,7,0,1,0,E,17,4,1,11,4,49
933,SGX24Y,12888,Carplate,24,2,SGX,Y,6,0,0,0,S,3,18,0,11,4,1
935,SLQ828Y,12888,Carplate,828,3,SLQ,Y,7,0,0,1,S,3,18,0,11,4,8
937,EG3033P,12888,Carplate,3033,4,EG,P,7,0,1,0,E,9,4,1,11,4,20
938,SMD27Z,12888,Carplate,27,2,SMD,Z,6,0,0,0,S,2,18,0,11,4,1
939,EQ8128P,12888,Carplate,8128,4,EQ,P,7,0,0,1,E,9,4,1,11,4,41
940,SKM8282B,12888,Carplate,8282,4,SKM,B,8,0,0,1,S,19,18,0,11,4,42
941,SGZ86H,12888,Carplate,86,2,SGZ,H,6,0,0,1,S,14,18,0,11,4,2
942,SMU222L,12888,Carplate,222,3,SMU,L,7,1,1,0,S,11,18,0,11,4,3
943,SE5029J,12888,Carplate,5029,4,SE,J,7,0,0,0,S,13,18,0,11,4,28
944,SDX45Y,12888,Carplate,45,2,SDX,Y,6,0,0,0,S,3,18,0,11,4,1
945,SGC35B,12888,Carplate,35,2,SGC,B,6,0,0,0,S,19,18,0,11,4,1
946,SDA6688Z,12888,Carplate,6688,4,SDA,Z,8,0,1,1,S,2,18,0,11,4,34
947,SBL6388E,12888,Carplate,6388,4,SBL,E,8,0,1,1,S,16,18,0,11,4,33
948,SKF5595E,12888,Carplate,5595,4,SKF,E,8,0,1,0,S,16,18,0,11,4,30
949,GK18J,12888,Carplate,18,2,GK,J,5,0,0,1,G,13,6,0,11,4,1
950,SBG87P,12888,Carplate,87,2,SBG,P,6,0,0,1,S,9,18,0,11,4,2
951,SJN87H,12888,Carplate,87,2,SJN,H,6,0,0,1,S,14,18,0,11,4,2
952,SFX45Z,12888,Carplate,45,2,SFX,Z,6,0,0,0,S,2,18,0,11,4,1
953,SBD882B,12888,Carplate,882,3,SBD,B,7,0,1,1,S,19,18,0,11,4,9
954,SKE222U,12888,Carplate,222,3,SKE,U,7,1,1,0,S,5,18,0,11,4,3
955,SJN38A,12888,Carplate,38,2,SJN,A,6,0,0,1,S,1,18,0,11,4,1
956,SKM31L,12888,Carplate,31,2,SKM,L,6,0,0,0,S,11,18,0,11,4,1
957,SLN881H,12888,Carplate,881,3,SLN,H,7,0,1,1,S,14,18,0,11,4,9
960,SJE36C,12888,Carplate,36,2,SJE,C,6,0,0,0,S,18,18,0,11,4,1
961,SLK89U,12888,Carplate,89,2,SLK,U,6,0,0,1,S,5,18,0,11,4,2
962,SGX87R,12888,Carplate,87,2,SGX,R,6,0,0,1,S,8,18,0,11,4,2
963,SNF333S,12888,SGCarMart,333,3,SNF,S,7,1,1,0,S,7,18,0,11,4,4
964,SLP89P,12888,SGCarMart,89,2,SLP,P,6,0,0,1,S,9,18,0,11,4,2
965,SNC89M,12888,SGCarMart,89,2,SNC,M,6,0,0,1,S,10,18,0,11,4,2
966,SJU68B,12888,CarPlateMart,68,2,SJU,B,6,0,0,1,S,19,18,0,11,4,2
967,SMD27Z,12888,CarPlateMart,27,2,SMD,Z,6,0,0,0,S,2,18,0,11,4,1
968,EU9695R,12888,CarPlateMart,9695,4,EU,R,7,0,0,0,E,8,4,1,11,4,49
969,SMH2222S,12888,CarPlateMart,2222,4,SMH,S,8,1,1,0,S,7,18,0,11,4,16
970,SLK89U,12888,CarPlateMart,89,2,SLK,U,6,0,0,1,S,5,18,0,11,4,2
971,SDU68Y,12888,CarPlateMart,68,2,SDU,Y,6,0,0,1,S,3,18,0,11,4,2
972,SJM80G,12800,Carplate,80,2,SJM,G,6,0,0,1,S,15,18,0,11,4,2
973,SDV25R,12800,Carplate,25,2,SDV,R,6,0,0,0,S,8,18,0,11,4,1
974,EU5119P,12800,SGCarMart,5119,4,EU,P,7,0,1,0,E,9,4,1,11,4,28
975,SMR5555J,12800,CarPlateMart,5555,4,SMR,J,8,1,1,0,S,13,18,0,11,4,30
976,SKT95R,12800,CarPlateMart,95,2,SKT,R,6,0,0,0,S,8,18,0,11,4,2
977,SDW555Y,12800,CarPlateMart,555,3,SDW,Y,7,1,1,0,S,3,18,0,11,4,6
978,EN1119C,12800,CarPlateMart,1119,4,EN,C,7,0,1,0,E,18,4,1,11,4,11
979,SLH69T,12500,Carplate,69,2,SLH,T,6,0,0,0,S,6,18,0,11,4,2
980,SKD62U,12500,Carplate,62,2,SKD,U,6,0,0,0,S,5,18,0,11,4,2
981,SJY10X,12500,SGCarMart,10,2,SJY,X,6,0,0,0,S,4,18,0,11,4,1
982,SND44L,12500,SGCarMart,44,2,SND,L,6,1,1,0,S,11,18,0,11,4,1
983,SNC555J,12500,SGCarMart,555,3,SNC,J,7,1,1,0,S,13,18,0,11,4,6
984,SMJ369E,12369,Carplate,369,3,SMJ,E,7,0,0,0,S,16,18,0,11,4,5
985,SMU3333E,12100,SGCarMart,3333,4,SMU,E,8,1,1,0,S,16,18,0,11,4,22
986,SMP25R,12100,SGCarMart,25,2,SMP,R,6,0,0,0,S,8,18,0,11,4,1
987,SMW35A,12100,SGCarMart,35,2,SMW,A,6,0,0,0,S,1,18,0,11,4,1
988,SFQ8080E,12000,Carplate,8080,4,SFQ,E,8,0,0,1,S,16,18,0,10,4,41
989,SGY73A,12000,Carplate,73,2,SGY,A,6,0,0,0,S,1,18,0,10,4,2
990,SND44L,12000,Carplate,44,2,SND,L,6,1,1,0,S,11,18,0,10,4,1
991,SGY59S,12000,Carplate,59,2,SGY,S,6,0,0,0,S,7,18,0,10,4,2
992,SFP90J,12000,Carplate,90,2,SFP,J,6,0,0,0,S,13,18,0,10,4,2
993,AW52S,12000,Carplate,52,2,AW,S,5,0,0,0,A,7,0,0,10,4,1
994,SFM1888J,12000,Carplate,1888,4,SFM,J,8,0,1,1,S,13,18,0,10,4,14
996,SKL8388K,12000,Carplate,8388,4,SKL,K,8,0,1,1,S,12,18,0,10,4,43
997,SGS6000C,12000,Carplate,6000,4,SGS,C,8,0,1,0,S,18,18,0,10,4,31
998,SFQ32Y,12000,Carplate,32,2,SFQ,Y,6,0,0,0,S,3,18,0,10,4,1
999,SCK168G,12000,CarPlateMart,168,3,SCK,G,7,0,0,1,S,15,18,0,10,4,3
1000,SFP90J,12000,CarPlateMart,90,2,SFP,J,6,0,0,0,S,13,18,0,10,4,2
1001,SLH8008S,12000,CarPlateMart,8008,4,SLH,S,8,0,1,1,S,7,18,0,10,4,40
1002,SBT3030P,12000,CarPlateMart,3030,4,SBT,P,8,0,0,0,S,9,18,0,10,4,20
1003,SMX303X,12000,CarPlateMart,303,3,SMX,X,7,0,0,0,S,4,18,0,10,4,4
1004,SW2417Y,12000,CarPlateMart,2417,4,SW,Y,7,0,0,0,S,3,18,0,10,4,17
1005,SCQ200P,12000,CarPlateMart,200,3,SCQ,P,7,0,1,0,S,9,18,0,10,4,3
1006,SLD69P,11999,Carplate,69,2,SLD,P,6,0,0,0,S,9,18,0,10,4,2
1007,SMX303X,11999,Carplate,303,3,SMX,X,7,0,0,0,S,4,18,0,10,4,4
1008,SKD91K,11900,CarPlateMart,91,2,SKD,K,6,0,0,0,S,12,18,0,10,4,2
1009,SME37P,11888,Carplate,37,2,SME,P,6,0,0,0,S,9,18,0,10,4,1
1010,EB6277J,11888,Carplate,6277,4,EB,J,7,0,1,0,E,13,4,1,10,4,33
1011,SJP37S,11888,Carplate,37,2,SJP,S,6,0,0,0,S,7,18,0,10,4,1
1012,SDW3377A,11888,Carplate,3377,4,SDW,A,8,0,1,0,S,1,18,0,10,4,22
1013,SFE70A,11888,Carplate,70,2,SFE,A,6,0,0,0,S,1,18,0,10,4,2
1014,SLD1111T,11888,Carplate,1111,4,SLD,T,8,1,1,0,S,6,18,0,10,4,11
1015,GBH9K,11888,Carplate,9,1,GBH,K,5,0,0,0,G,12,6,0,10,4,1
1016,SKT94T,11888,Carplate,94,2,SKT,T,6,0,0,0,S,6,18,0,10,4,2
1017,SKA1111X,11888,Carplate,1111,4,SKA,X,8,1,1,0,S,4,18,0,10,4,11
1018,SGK333Z,11888,Carplate,333,3,SGK,Z,7,1,1,0,S,2,18,0,10,4,4
1019,SMX3333P,11888,Carplate,3333,4,SMX,P,8,1,1,0,S,9,18,0,10,4,22
1020,SKQ36C,11888,Carplate,36,2,SKQ,C,6,0,0,0,S,18,18,0,10,4,1
1021,SCP1188R,11888,Carplate,1188,4,SCP,R,8,0,1,1,S,8,18,0,10,4,11
1022,SFF444A,11888,Carplate,444,3,SFF,A,7,1,1,0,S,1,18,0,10,4,5
1023,SMH75M,11888,Carplate,75,2,SMH,M,6,0,0,0,S,10,18,0,10,4,2
1024,SGD3232Z,11888,Carplate,3232,4,SGD,Z,8,0,0,0,S,2,18,0,10,4,21
1025,EQ8128P,11888,SGCarMart,8128,4,EQ,P,7,0,0,1,E,9,4,1,10,4,41
1026,SJC37K,11888,SGCarMart,37,2,SJC,K,6,0,0,0,S,12,18,0,10,4,1
1027,SLJ36C,11888,SGCarMart,36,2,SLJ,C,6,0,0,0,S,18,18,0,10,4,1
1028,SGN222U,11888,SGCarMart,222,3,SGN,U,7,1,1,0,S,5,18,0,10,4,3
1029,SBN133C,11888,CarPlateMart,133,3,SBN,C,7,0,1,0,S,18,18,0,10,4,2
1030,EY1183H,11833,Carplate,1183,4,EY,H,7,0,1,1,E,14,4,1,10,4,11
1031,SGQ178Z,11800,Carplate,178,3,SGQ,Z,7,0,0,1,S,2,18,0,10,4,3
1032,SKS35U,11800,Carplate,35,2,SKS,U,6,0,0,0,S,5,18,0,10,4,1
1033,SMZ555A,11800,SGCarMart,555,3,SMZ,A,7,1,1,0,S,1,18,0,10,4,6
1034,SFG15A,11800,SGCarMart,15,2,SFG,A,6,0,0,0,S,1,18,0,10,4,1
1035,SLW38D,11800,SGCarMart,38,2,SLW,D,6,0,0,1,S,17,18,0,10,4,1
1036,SBG36L,11800,CarPlateMart,36,2,SBG,L,6,0,0,0,S,11,18,0,10,4,1
1037,SGE53M,11688,Carplate,53,2,SGE,M,6,0,0,0,S,10,18,0,10,4,1
1038,SNC5555B,11555,Carplate,5555,4,SNC,B,8,1,1,0,S,19,18,0,10,4,30
1039,SCW1616K,11500,Carplate,1616,4,SCW,K,8,0,0,0,S,12,18,0,10,4,13
1040,SBH1118Y,11118,SGCarMart,1118,4,SBH,Y,8,0,1,1,S,3,18,0,10,3,11
1041,EF9600T,11111,Carplate,9600,4,EF,T,7,0,1,0,E,6,4,1,10,3,49
1042,SNE1111P,11111,CarPlateMart,1111,4,SNE,P,8,1,1,0,S,9,18,0,10,3,11
1043,SJE5050C,11000,Carplate,5050,4,SJE,C,8,0,0,0,S,18,18,0,10,3,28
1044,SKH110T,11000,Carplate,110,3,SKH,T,7,0,1,0,S,6,18,0,10,3,2
1045,ES9123K,11000,Carplate,9123,4,ES,K,7,0,0,0,E,12,4,1,10,3,47
1046,SLJ1100T,11000,CarPlateMart,1100,4,SLJ,T,8,0,1,0,S,6,18,0,10,3,11
1047,SGR800E,11000,CarPlateMart,800,3,SGR,E,7,0,1,1,S,16,18,0,10,3,8
1048,SKS91G,10999,Carplate,91,2,SKS,G,6,0,0,0,S,15,18,0,10,3,2
1049,SLM2888G,10999,Carplate,2888,4,SLM,G,8,0,1,1,S,15,18,0,10,3,19
1050,SFG79R,10999,SGCarMart,79,2,SFG,R,6,0,0,0,S,8,18,0,10,3,2
1051,SKS91G,10900,CarPlateMart,91,2,SKS,G,6,0,0,0,S,15,18,0,10,3,2
1052,SFQ42T,10888,Carplate,42,2,SFQ,T,6,0,0,0,S,6,18,0,10,3,1
1053,SGU20Z,10888,Carplate,20,2,SGU,Z,6,0,0,0,S,2,18,0,10,3,1
1054,SLP96Y,10888,Carplate,96,2,SLP,Y,6,0,0,0,S,3,18,0,10,3,2
1055,SME78X,10888,Carplate,78,2,SME,X,6,0,0,1,S,4,18,0,10,3,2
1056,SGB5555P,10888,Carplate,5555,4,SGB,P,8,1,1,0,S,9,18,0,10,3,30
1057,SLH8282R,10888,Carplate,8282,4,SLH,R,8,0,0,1,S,8,18,0,10,3,42
1058,EP2062P,10888,Carplate,2062,4,EP,P,7,0,0,0,E,9,4,1,10,3,15
1059,SFX23L,10888,Carplate,23,2,SFX,L,6,0,0,0,S,11,18,0,10,3,1
1060,SJR60M,10888,Carplate,60,2,SJR,M,6,0,0,0,S,10,18,0,10,3,2
1061,SMU360X,10888,Carplate,360,3,SMU,X,7,0,0,0,S,4,18,0,10,3,4
1062,SLM79M,10888,Carplate,79,2,SLM,M,6,0,0,0,S,10,18,0,10,3,2
1063,SBZ7788D,10888,Carplate,7788,4,SBZ,D,8,0,1,1,S,17,18,0,10,3,39
1064,SBZ6688R,10888,Carplate,6688,4,SBZ,R,8,0,1,1,S,8,18,0,10,3,34
1065,SFV52M,10888,Carplate,52,2,SFV,M,6,0,0,0,S,10,18,0,10,3,1
1066,SKP30Z,10888,Carplate,30,2,SKP,Z,6,0,0,0,S,2,18,0,10,3,1
1067,SLZ222Y,10888,Carplate,222,3,SLZ,Y,7,1,1,0,S,3,18,0,10,3,3
1068,SBE8282A,10888,Carplate,8282,4,SBE,A,8,0,0,1,S,1,18,0,10,3,42
1069,SMU7000P,10888,Carplate,7000,4,SMU,P,8,0,1,0,S,9,18,0,10,3,36
1070,EW2562B,10888,Carplate,2562,4,EW,B,7,0,0,0,E,19,4,1,10,3,18
1071,SJN47Z,10888,Carplate,47,2,SJN,Z,6,0,0,0,S,2,18,0,10,3,1
1072,SDH81B,10888,Carplate,81,2,SDH,B,6,0,0,1,S,19,18,0,10,3,2
1073,AU6666S,10888,Carplate,6666,4,AU,S,7,1,1,0,A,7,0,0,10,3,34
1074,SGW3333R,10888,SGCarMart,3333,4,SGW,R,8,1,1,0,S,8,18,0,10,3,22
1075,GBA33B,10888,SGCarMart,33,2,GBA,B,6,1,1,0,G,19,6,0,10,3,1
1076,SKS53S,10888,SGCarMart,53,2,SKS,S,6,0,0,0,S,7,18,0,10,3,1
1077,SMZ26K,10888,SGCarMart,26,2,SMZ,K,6,0,0,0,S,12,18,0,10,3,1
1078,SFC44L,10888,CarPlateMart,44,2,SFC,L,6,1,1,0,S,11,18,0,10,3,1
1079,SMC1818G,10888,CarPlateMart,1818,4,SMC,G,8,0,0,1,S,15,18,0,10,3,14
1080,SCF114T,10888,CarPlateMart,114,3,SCF,T,7,0,1,0,S,6,18,0,10,3,2
1081,SBK558B,10888,CarPlateMart,558,3,SBK,B,7,0,1,1,S,19,18,0,10,3,6
1082,SBP1088H,10880,Carplate,1088,4,SBP,H,8,0,1,1,S,14,18,0,10,3,11
1083,SMU1551E,10800,Carplate,1551,4,SMU,E,8,0,1,0,S,16,18,0,10,3,13
1085,SJR1818M,10800,Carplate,1818,4,SJR,M,8,0,0,1,S,10,18,0,10,3,14
1086,GBK33Z,10800,Carplate,33,2,GBK,Z,6,1,1,0,G,2,6,0,10,3,1
1087,SGF80D,10800,SGCarMart,80,2,SGF,D,6,0,0,1,S,17,18,0,10,3,2
1088,SNC38K,10800,SGCarMart,38,2,SNC,K,6,0,0,1,S,12,18,0,10,3,1
1089,SMY67Y,10800,SGCarMart,67,2,SMY,Y,6,0,0,0,S,3,18,0,10,3,2
1090,SJW37E,10800,SGCarMart,37,2,SJW,E,6,0,0,0,S,16,18,0,10,3,1
1091,SKP66X,10800,SGCarMart,66,2,SKP,X,6,1,1,0,S,4,18,0,10,3,2
1092,SNF1888B,10800,SGCarMart,1888,4,SNF,B,8,0,1,1,S,19,18,0,10,3,14
1093,SNF32K,10800,SGCarMart,32,2,SNF,K,6,0,0,0,S,12,18,0,10,3,1
1094,SNF36A,10800,SGCarMart,36,2,SNF,A,6,0,0,0,S,1,18,0,10,3,1
1095,SNE27G,10800,SGCarMart,27,2,SNE,G,6,0,0,0,S,15,18,0,10,3,1
1096,SBE93G,10800,CarPlateMart,93,2,SBE,G,6,0,0,0,S,15,18,0,10,3,2
1097,SLV32A,10800,CarPlateMart,32,2,SLV,A,6,0,0,0,S,1,18,0,10,3,1
1098,SBF57G,10800,CarPlateMart,57,2,SBF,G,6,0,0,0,S,15,18,0,10,3,1
1099,SJC78S,10800,CarPlateMart,78,2,SJC,S,6,0,0,1,S,7,18,0,10,3,2
1100,SGL68J,10800,CarPlateMart,68,2,SGL,J,6,0,0,1,S,13,18,0,10,3,2
1101,SLG80P,10800,CarPlateMart,80,2,SLG,P,6,0,0,1,S,9,18,0,10,3,2
1102,SFJ30P,10555,CarPlateMart,30,2,SFJ,P,6,0,0,0,S,9,18,0,10,3,1
1103,AR1234D,10500,Carplate,1234,4,AR,D,7,0,0,0,A,17,0,0,10,3,11
1104,SMX3333P,10300,CarPlateMart,3333,4,SMX,P,8,1,1,0,S,9,18,0,10,3,22
1105,SMR1169S,10000,Carplate,1169,4,SMR,S,8,0,1,0,S,7,18,0,9,3,11
1106,SBR6007Z,10000,Carplate,6007,4,SBR,Z,8,0,1,0,S,2,18,0,9,3,31
1107,SJV86T,10000,Carplate,86,2,SJV,T,6,0,0,1,S,6,18,0,9,3,2
1108,SJD629Y,10000,Carplate,629,3,SJD,Y,7,0,0,0,S,3,18,0,9,3,7
1109,SGD991K,10000,Carplate,991,3,SGD,K,7,0,1,0,S,12,18,0,9,3,10
1110,SLV32A,10000,Carplate,32,2,SLV,A,6,0,0,0,S,1,18,0,9,3,1
1111,SDS6446K,10000,Carplate,6446,4,SDS,K,8,0,1,0,S,12,18,0,9,3,33
1112,SMP30A,10000,Carplate,30,2,SMP,A,6,0,0,0,S,1,18,0,9,3,1
1113,EN2712H,10000,Carplate,2712,4,EN,H,7,0,0,0,E,14,4,1,9,3,18
1114,SLR70K,10000,Carplate,70,2,SLR,K,6,0,0,0,S,12,18,0,9,3,2
1115,SLH8008S,10000,Carplate,8008,4,SLH,S,8,0,1,1,S,7,18,0,9,3,40
1116,SNA49P,10000,Carplate,49,2,SNA,P,6,0,0,0,S,9,18,0,9,3,1
1117,SDZ393G,10000,Carplate,393,3,SDZ,G,7,0,0,0,S,15,18,0,9,3,5
1118,SFF737E,10000,Carplate,737,3,SFF,E,7,0,0,0,S,16,18,0,9,3,8
1119,SBQ1188Y,10000,Carplate,1188,4,SBQ,Y,8,0,1,1,S,3,18,0,9,3,11
1120,SLB7441L,10000,Carplate,7441,4,SLB,L,8,0,1,0,S,11,18,0,9,3,38
1121,SGA190X,10000,Carplate,190,3,SGA,X,7,0,0,0,S,4,18,0,9,3,3
1122,SDV65A,10000,Carplate,65,2,SDV,A,6,0,0,0,S,1,18,0,9,3,2
1124,SDS234U,10000,Carplate,234,3,SDS,U,7,0,0,0,S,5,18,0,9,3,3
1125,SMS3310G,10000,Carplate,3310,4,SMS,G,8,0,1,0,S,15,18,0,9,3,22
1126,SBM7700A,10000,Carplate,7700,4,SBM,A,8,0,1,0,S,1,18,0,9,3,39
1127,SGD883P,10000,Carplate,883,3,SGD,P,7,0,1,1,S,9,18,0,9,3,9
1128,GBB4488R,10000,Carplate,4488,4,GBB,R,8,0,1,1,G,8,6,0,9,3,26
1129,SMS770G,10000,Carplate,770,3,SMS,G,7,0,1,0,S,15,18,0,9,3,8
1130,SMS810A,10000,Carplate,810,3,SMS,A,7,0,0,1,S,1,18,0,9,3,8
1131,SMS8588P,10000,Carplate,8588,4,SMS,P,8,0,1,1,S,9,18,0,9,3,44
1132,SCZ3663U,10000,Carplate,3663,4,SCZ,U,8,0,1,0,S,5,18,0,9,3,23
1133,SLS8788R,10000,Carplate,8788,4,SLS,R,8,0,1,1,S,8,18,0,9,3,45
1134,AU996D,10000,Carplate,996,3,AU,D,6,0,1,0,A,17,0,0,9,3,10
1135,SGH8877J,10000,Carplate,8877,4,SGH,J,8,0,1,1,S,13,18,0,9,3,45
1137,SJU5656X,10000,Carplate,5656,4,SJU,X,8,0,0,0,S,4,18,0,9,3,30
1138,AW1000K,10000,Carplate,1000,4,AW,K,7,0,1,0,A,12,0,0,9,3,10
1139,SGD437U,10000,Carplate,437,3,SGD,U,7,0,0,0,S,5,18,0,9,3,5
1140,SBT5354S,10000,Carplate,5354,4,SBT,S,8,0,0,0,S,7,18,0,9,3,29
1141,SJH222R,10000,Carplate,222,3,SJH,R,7,1,1,0,S,8,18,0,9,3,3
1142,SBJ916G,10000,Carplate,916,3,SBJ,G,7,0,0,0,S,15,18,0,9,3,9
1143,SLN518H,10000,Carplate,518,3,SLN,H,7,0,0,1,S,14,18,0,9,3,6
1144,SBB3838X,10000,Carplate,3838,4,SBB,X,8,0,0,1,S,4,18,0,9,3,24
1145,SBK761E,10000,Carplate,761,3,SBK,E,7,0,0,0,S,16,18,0,9,3,8
1146,SDM7676M,10000,Carplate,7676,4,SDM,M,8,0,0,0,S,10,18,0,9,3,39
1148,SDD47Y,10000,SGCarMart,47,2,SDD,Y,6,0,0,0,S,3,18,0,9,3,1
1149,EL8051C,10000,CarPlateMart,8051,4,EL,C,7,0,0,1,E,18,4,1,9,3,41
1150,SJJ1188P,10000,CarPlateMart,1188,4,SJJ,P,8,0,1,1,S,9,18,0,9,3,11
1151,SND8818T,10000,CarPlateMart,8818,4,SND,T,8,0,1,1,S,6,18,0,9,3,45
1152,SJR9889E,10000,CarPlateMart,9889,4,SJR,E,8,0,1,1,S,16,18,0,9,3,50
1153,SDX7878P,10000,CarPlateMart,7878,4,SDX,P,8,0,0,1,S,9,18,0,9,3,40
1154,SMR1555K,10000,CarPlateMart,1555,4,SMR,K,8,0,1,0,S,12,18,0,9,3,13
1155,SDP4545S,10000,CarPlateMart,4545,4,SDP,S,8,0,0,0,S,7,18,0,9,3,26
1156,SFT250T,10000,CarPlateMart,250,3,SFT,T,7,0,0,0,S,6,18,0,9,3,3
1157,EC8479A,10000,CarPlateMart,8479,4,EC,A,7,0,0,1,E,1,4,1,9,3,43
1158,SGD3838B,10000,CarPlateMart,3838,4,SGD,B,8,0,0,1,S,19,18,0,9,3,24
1159,SKK2992K,10000,CarPlateMart,2992,4,SKK,K,8,0,1,0,S,12,18,0,9,3,20
1160,SDL3333G,10000,CarPlateMart,3333,4,SDL,G,8,1,1,0,S,15,18,0,9,3,22
1161,SML50M,9999,Carplate,50,2,SML,M,6,0,0,0,S,10,18,0,9,3,1
1162,SMP2555p,9999,Carplate,2555,4,SMP,p,8,0,1,0,S,,18,0,9,3,18
1163,SNB2222L,9999,Carplate,2222,4,SNB,L,8,1,1,0,S,11,18,0,9,3,16
1164,SNC2222G,9999,Carplate,2222,4,SNC,G,8,1,1,0,S,15,18,0,9,3,16
1165,SMN214Y,9999,Carplate,214,3,SMN,Y,7,0,0,0,S,3,18,0,9,3,3
1166,SBQ707G,9999,Carplate,707,3,SBQ,G,7,0,0,0,S,15,18,0,9,3,7
1167,GBB5858A,9999,Carplate,5858,4,GBB,A,8,0,0,1,G,1,6,0,9,3,31
1168,SME37P,9999,SGCarMart,37,2,SME,P,6,0,0,0,S,9,18,0,9,3,1
1169,EM7765C,9999,SGCarMart,7765,4,EM,C,7,0,1,0,E,18,4,1,9,3,39
1170,SKZ35H,9999,SGCarMart,35,2,SKZ,H,6,0,0,0,S,14,18,0,9,3,1
1171,SFV1616E,9999,CarPlateMart,1616,4,SFV,E,8,0,0,0,S,16,18,0,9,3,13
1172,SGW73K,9998,Carplate,73,2,SGW,K,6,0,0,0,S,12,18,0,9,3,2
